sample_accession	submission_accession	sample_description	sampling_platform	study_accession	sampling_site	marine_region	sample_title	country	location_end	location	location_start	isolation_source	depth
SAMN37005540	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005542	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005546	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005549	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005550	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005551	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005554	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005563	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005570	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005572	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005573	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005575	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005577	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005581	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005582	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005583	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005588	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005591	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005592	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005593	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005594	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005595	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005596	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005597	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005602	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005605	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005606	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005607	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005609	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005610	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005612	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005620	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005621	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005623	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005629	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005632	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005633	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005635	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005636	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005638	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005639	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005642	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005643	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005649	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005651	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005655	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005657	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005661	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005664	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005665	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005666	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005669	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005673	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005675	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005676	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005677	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005689	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005691	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005693	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005694	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005699	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005702	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
